Feature,,,,,,,,,,
萼片数,,,,,,,,,,
萼片颜色,绿,1,紫红,2,,,,,,
萼片茸毛,无,0,有,1,,,,,,
完全开放花冠大小1,,,,,,,,,,
完全开放花冠大小2,,,,,,,,,,
花瓣数,,,,,,,,,,
花瓣颜色,白,1,微绿,2,淡红,3,,,,
花瓣茸毛,无,0,有,1,,,,,,
最大花瓣质地,薄,1,中,2,厚,3,,,,
子房茸毛,无,0,有,1,,,,,,
花柱长度,,,,,,,,,,
花柱头开裂数,,,,,,,,,,
柱头裂位,浅,1,中,2,深,3,全,4,,
雌雄蕊相对高度,雌低,1,等高,2,雌高,3,,,,
有无花香,无,0,有,1,,,,,,
果实形状,球,1,肾,2,三角,3,四角,4,梅花,5
果实大小1（mm）,,,,,,,,,,
果实大小2（mm）,,,,,,,,,,
果皮中部边缘厚度,,,,,,,,,,
种子形状,球,1,半球,2,锥,3,似肾,4,不规则,5
种子大小1(mm),,,,,,,,,,
种子大小2(mm),,,,,,,,,,
百粒重（g）,,,,,,,,,,
种皮颜色,棕色,1,棕褐色,2,褐色,3,,,,
叶长cm,,,,,,,,,,
叶宽cm,,,,,,,,,,
叶面积（cm2）,,,,,,,,,,
叶片大小,小,1,中,2,大,3,特大,4,,
叶脉对数,,,,,,,,,,
叶正面颜色,黄绿,1,淡绿,2,绿,3,深绿,4,,
叶正面隆起性,平,1,稍隆起,2,隆起,3,强隆起,4,,
叶形,近圆,1,卵形,2,椭圆,3,长椭圆,4,披针形,5
叶身形态,稍内折,1,内折,2,平,3,稍背卷,4,,
叶片质地,柔软,1,中,2,硬,3,,,,
叶背茸毛,无,0,有,1,,,,,,
叶齿密度,稀,1,中,2,密,3,,,,
叶齿深度,浅,1,中,2,深,3,,,,
叶基形态,楔形,1,近圆形,2,,,,,,
叶尖形态,急尖,1,渐尖,2,钝尖,3,圆尖,4,,
叶缘形态,平,1,微波,2,波,3,,,,
着生状态,上斜,1,稍上斜,2,水平,3,下垂,4,,
树型,灌木,1,小乔木,2,乔木,3,,,,
树姿,直立,1,半开张,2,开张,3,,,,
1芽2叶芽叶颜色,玉白,1,黄绿,2,淡绿,3,绿,4,紫绿,5
1芽2叶芽叶茸毛,无,0,少,1,中等,2,多,3,特多,4
1芽2叶芽长（cm）,,,,,,,,,,
1芽2叶百芽重(g),,,,,,,,,,
1芽3叶芽长(cm),,,,,,,,,,
1芽3叶百芽重（g）,,,,,,,,,,
