,QT1-1,QT1-2,QT1-3,QT1-4,QT1-5,QT1-6,QT1-7,QT1-8,QT1-9,QT1-10,QT1-11,QT1-12,QT1-13,QT1-14,QT1-15,QT1-16,QT1-17,QT1-18,QT1-19,QT1-20,QT1-21,QT1-22,QT1-23,QT1-24,QT1-25,QT1-26,QT1-27,QT1-28,QT1-29,QT1-30,QT2-1,QT2-2,QT2-3,QT2-4,QT2-5,QT2-6,QT2-7,QT2-8,QT2-9,QT2-10,QT2-11,QT2-12,QT2-13,QT2-14,QT2-15,QT2-16,QT2-17,QT2-18,QT2-19,QT2-20,QT2-21,QT2-22,QT2-23,QT2-24,QT2-25,QT2-26,QT2-27,QT2-28,QT2-29,QT2-30,QT3-1,QT3-2,QT3-3,QT3-4,QT3-5,QT3-6,QT3-7,QT3-8,QT3-9,QT3-10,QT3-11,QT3-12,QT3-13,QT3-14,QT3-15,QT3-16,QT3-17,QT3-18,QT3-19,QT3-20,QT3-21,QT3-22,QT3-23,QT3-24,QT3-25,QT3-26,QT3-27,QT3-28,QT3-29,QT3-30
萼片数,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小,3.2,3.0,3.15,2.9000000000000004,3.3,3.95,3.05,2.95,3.05,3.05,3.25,3.4,3.65,3.0999999999999996,3.4,3.05,3.6,3.5,2.9000000000000004,3.4,3.25,3.1500000000000004,3.4000000000000004,3.05,4.15,3.8,3.4,3.4000000000000004,3.0,3.0999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花瓣数,7.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,9.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花柱长度,1.2,1.0,1.0,0.9,1.1,1.4,1.0,1.1,1.0,1.0,1.1,1.1,1.0,1.0,0.9,1.2,1.3,1.2,1.0,1.2,1.0,1.2,1.1,1.1,1.2,1.2,1.1,1.0,0.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柱头裂位,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雌雄蕊相对高度,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叶长cm,9.5,11.1,9.6,11.3,9.5,8.6,7.9,9.2,8.2,9.2,11.2,13.0,10.7,10.2,9.4,11.0,7.1,7.5,9.3,9.2,10.8,9.3,7.8,8.9,8.9,7.8,9.2,8.8,9.5,9.9,11.4,10.0,12.9,10.3,9.5,11.1,10.0,11.7,12.7,10.3,11.1,8.7,9.4,10.5,9.9,11.3,8.9,12.4,11.0,12.7,9.9,10.5,9.1,10.1,11.6,8.6,10.0,8.6,9.0,11.7,8.3,7.4,8.2,9.9,8.5,8.4,8.6,8.5,8.6,9.0,8.2,9.0,8.4,10.9,10.3,7.7,7.5,10.2,11.1,8.1,7.2,10.8,7.8,7.1,12.7,8.9,10.5,11.1,9.4,8.3
叶宽cm,4.2,5.4,4.2,3.4,3.1,2.8,2.8,3.3,2.7,3.1,3.3,4.4,3.4,3.8,3.0,3.7,2.6,3.1,3.5,3.5,3.6,3.4,3.3,3.3,3.4,3.0,3.4,3.3,3.4,3.4,4.8,5.7,5.7,4.3,3.5,4.4,4.6,3.8,5.0,4.2,3.9,3.7,3.3,3.6,3.0,3.4,3.4,3.7,4.3,3.9,3.9,4.5,3.7,3.9,4.2,3.3,4.0,3.1,3.4,4.2,2.5,2.4,2.5,2.9,2.7,2.8,2.9,2.7,3.0,3.5,2.8,3.2,3.8,3.9,3.1,2.9,2.8,3.4,4.1,3.4,2.7,3.9,3.2,2.8,4.1,3.0,3.4,3.5,3.4,3.5
叶正面颜色,1,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,1,3,1,1,3,1,1,3,3,3,1,1,1,1,1,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,1,3,1,3,3,3,3,3,1,3,3,1,3
叶正面隆起性,3,2,3,2,1,1,2,1,2,3,3,2,3,4,2,2,2,2,2,2,2,2,2,1,2,3,2,2,1,1,2,2,4,1,2,2,3,2,2,2,2,3,2,3,2,3,3,2,1,2,2,3,2,1,2,1,4,2,1,3,1,1,1,1,1,2,1,2,1,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3
叶形,3,3,3,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
叶身形态,3,3,1,1,1,3,1,3,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,3,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,1,3,3,3,3,1,3,3,3,3,4,1,2,1,1,2,1,1,3,1,1,2,1,2,3,2,1,1,3,3,3,3,3,1,1,3,1,1,1,1,3
叶基形态,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1
叶缘形态,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,2,2,3,1,1,2,1,1,2,2,1,1,2,2,1,2,1,3,3,1,1,3,1,1,2,1,2,3,3,1,1,2,1,2,2,1,2,3,3,1,1,1,1,2,1,2,2,2,2,2,2,3,2,1,2,2,2,3,2,3,2,3,2
着生状态,2,2,1,1,1,1,1,2,1,1,3,3,2,2,1,3,2,1,3,1,2,2,2,1,2,1,1,1,2,2,1,2,2,1,3,2,2,2,1,1,1,1,2,2,2,3,2,1,2,3,2,1,3,2,2,3,2,1,2,3,2,3,2,2,1,1,2,2,2,1,2,2,2,1,1,3,1,3,2,2,2,3,2,2,1,2,1,2,2,2
