,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
萼片数,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小,3.05,3.75,3.7,5.15,3.65,3.5,3.55,3.05,4.05,3.1,4.4,4.2,4.55,3.9,4.1,4.1,4.6,4.15,4.449999999999999,4.5,2.55,2.85,3.5,3.3,3.1500000000000004,3.25,3.05,3.0,3.6,3.3499999999999996,3.0999999999999996,3.7,3.7,3.15,3.3,3.35,3.3,3.3499999999999996,3.4,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花瓣数,8.0,8.0,8.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,5.0,8.0,6.0,7.0,7.0,8.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花柱长度,1.2,1.2,1.0,0.8,1.0,1.1,0.9,1.0,0.8,0.9,0.9,0.9,1.2,1.0,0.9,0.8,1.0,1.2,1.0,0.9,1.6,1.6,1.6,1.6,1.7,1.3,1.3,1.3,1.4,1.6,1.7,0.8,1.6,1.6,1.2,1.6,1.5,1.5,1.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柱头裂位,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雌雄蕊相对高度,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着生状态,1,1,2,1,1,1,2,2,2,2,2,2,3,2,2,2,3,2,1,1,3,1,2,2,2,2,2,2,2,3,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,3,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1
叶长cm,8.4,8.7,10.5,10.7,7.0,8.3,8.8,11.7,9.5,9.1,11.6,10.9,8.7,8.7,7.4,10.3,12.0,12.5,8.0,8.6,12.1,9.0,11.0,12.3,10.1,11.7,11.5,9.8,8.8,11.0,7.6,7.1,10.6,8.1,11.3,6.0,12.0,7.8,11.0,6.0,8.5,10.7,9.3,6.8,8.7,8.0,8.2,10.3,8.4,7.5,7.0,8.1,11.0,8.3,6.2,10.1,9.5,8.5,8.5,9.1,9.0,9.5,10.0,7.4,7.5,8.7,9.0,9.4,9.5,10.3,8.4,9.3,9.9,8.5,9.2,8.9,10.1,8.7,10.1,12.2,8.4,9.3,7.5,11.8,9.0,11.2,7.9,8.8,10.1,6.7,9.4,8.9,8.4,7.9,8.3,9.4,8.4,7.0,7.2,7.0,9.6,6.4,6.8,8.0,5.9,7.4,6.7,6.4,4.7,2.4,8.6,9.8,8.8,8.5,8.2,7.5,8.5,7.8,7.6,7.4
叶宽cm,3.0,2.9,3.1,3.3,2.5,2.8,3.5,4.0,3.6,3.8,4.4,4.0,3.2,3.2,3.1,4.1,4.2,4.1,3.0,3.2,4.7,4.7,4.3,5.1,4.2,4.2,4.6,4.5,4.3,4.3,2.8,2.9,3.7,3.6,4.2,2.7,4.0,2.6,3.9,2.3,3.1,3.7,3.6,2.6,3.1,3.0,2.8,3.3,3.1,2.2,2.7,2.7,3.3,3.2,2.0,3.6,2.7,2.5,3.2,3.1,3.8,3.6,4.0,3.3,3.4,3.6,3.2,4.1,3.8,4.3,3.5,3.8,3.6,3.3,3.6,3.7,3.4,3.6,3.8,3.7,3.4,3.6,2.9,3.8,3.3,3.4,2.8,3.6,3.4,2.2,3.2,3.2,3.1,2.6,2.9,3.0,3.0,2.4,2.7,2.6,3.6,2.6,2.8,3.5,2.5,2.9,2.9,2.4,1.9,1.5,3.6,3.8,3.6,3.7,3.5,3.5,7.0,3.5,3.2,3.8
叶正面颜色,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,1,3,3,3,1,3,3,1,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,1,3,1,3,3,3,3,3,1,3,1,3,3,3,3,3,1,3,3,3,3,1,3,3,3,1,3,3,3,3,1,3,3,3,1,1
叶正面隆起性,3,2,2,2,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,4,1,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,3,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,3,2,1,1,2,2,3,3,2,2,2,2,2,3,2,1,2,1,3,2,2,1,1,3,1,2,2,2,1,1,1,1,3,4,2,1,2,2,2,3,2,2,4,3,2,2,2,1,2,1,2,2,3,4,2,2,3,3,4,4
叶形,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
叶身形态,4,3,3,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,1,3,1,1,3,3,3,3,1,1,3,3,1,2,3,1,3,1,3,3,3,1,1,2,1,2,3,4,3,3,3,3,1,3,1,3,3,1,1,1,3,1,3,3,2,2,3,3,1,1,3,2,1,1,3,3,1,1,2,1,4,3,2,2,1,1,3,1,1,3,1,3,1,1,3,1,1,3,3,3,4,1,1,4,3,4,1
叶基形态,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
叶缘形态,2,2,3,1,1,3,1,1,1,2,3,3,3,1,3,3,3,2,1,3,2,2,2,1,1,1,3,2,2,1,2,1,1,3,1,2,3,2,3,1,3,3,3,1,2,3,3,1,3,2,1,2,3,1,1,2,2,2,2,2,2,3,3,1,3,3,1,2,2,3,3,3,3,3,1,1,2,2,2,3,3,3,2,3,2,3,1,2,3,2,1,2,3,1,2,2,1,2,2,2,2,2,2,3,1,2,1,2,2,2,2,1,1,3,1,1,3,1,2,1
