,YSA-1,YSA-2,YSA-3,YSA-4,YSA-5,YSA-6,YSA-7,YSA-8,YSA-9,YSA-10,YSA-11,YSA-12,YSA-13,YSA-14,YSA-15,YSA-16,YSA-17,YSA-18,YSA-19,YSA-20,YSA-21,YSA-22,YSA-23,YSA-24,YSA-25,YSA-26,YSA-27,YSA-28,YSA-29,YSA-30,GYD-1,GYD-2,GYD-3,GYD-4,GYD-5,GYD-6,GYD-7,GYD-8,GYD-9,GYD-10,GYD-11,GYD-12,GYD-13,GYD-14,GYD-15,GYD-16,GYD-17,GYD-18,GYD-19,GYD-20,GYD-21,GYD-22,GYD-23,GYD-24,GYD-25,GYD-26,GYD-27,GYD-28,GYD-29,GYD-30
萼片数,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小,4.1,4.6,3.8,3.5,3.7,3.65,3.8,3.65,3.55,3.8499999999999996,5.35,4.05,3.5,3.7,3.6,3.9,3.65,3.7,3.6500000000000004,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花瓣数,8.0,8.0,7.0,7.0,6.0,12.0,7.0,11.0,6.0,8.0,6.0,7.0,9.0,7.0,8.0,7.0,7.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花柱长度,1.3,1.1,1.3,0.9,1.1,1.2,1.2,1.0,1.3,1.3,1.2,1.3,1.2,1.2,1.2,1.3,1.2,1.3,1.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柱头裂位,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雌雄蕊相对高度,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叶长cm,9.0,10.5,10.5,8.7,9.1,12.4,7.7,8.6,7.5,11.5,8.6,9.5,12.9,7.6,7.7,8.3,9.6,9.1,8.2,9.3,9.1,8.4,8.6,8.8,9.1,7.6,8.5,9.5,9.7,8.1,9.2,9.6,8.7,8.0,9.0,7.8,11.3,9.2,10.0,8.5,13.1,9.0,13.1,9.6,9.0,10.4,8.2,12.3,9.1,7.5,9.6,9.4,11.1,8.7,8.6,12.3,9.0,11.4,10.0,11.0
叶宽cm,4.7,4.5,4.4,3.9,4.6,4.1,4.4,4.1,3.8,4.8,4.1,4.4,5.4,2.9,3.7,3.5,3.4,4.1,4.1,4.0,3.2,4.1,3.3,3.4,3.9,3.2,3.3,4.5,4.1,4.6,3.4,4.2,4.4,3.9,3.5,3.0,3.7,3.8,4.1,3.3,4.6,4.0,4.8,4.5,4.1,4.4,3.6,4.4,3.2,3.4,3.9,3.4,4.1,3.1,3.4,5.0,3.3,4.5,4.1,3.7
叶正面颜色,4,4,3,3,3,3,4,3,3,3,4,3,4,2,4,4,2,4,3,3,4,4,3,2,4,4,3,4,3,4,3,3,2,3,3,2,4,4,3,3,3,3,4,3,3,4,4,3,3,3,4,4,4,3,2,4,2,3,3,4
叶正面隆起性,3,2,2,2,3,1,3,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,1,1,3,3,2,2,2,2,2,2,1,1,1,4,3,3,1,3,2,3,3,2,2,3,2,2,1,2,2,3,2,1,3,2,3,2,3
叶形,3,4,4,4,3,5,3,3,3,4,3,3,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,3,4,3,4,3,3,3,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4
叶身形态,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,3,1,1,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,1,4,3,3,3,3,3,1,4
叶基形态,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
叶缘形态,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,3,2,2,1,1,2,2,1,3,3,3,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2
着生状态,2,2,2,3,2,3,2,2,2,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,2,1,2,1,2,2,3,2,2,2,1,2,2,2,1,1,1,1,1,1,1,3,2,2,2,3,1,1
